0,4685,116,389,60,False
1,4890,180,421,100,False
2,5434,7,195,130,False
3,461,141,36,125,False
4,6572,174,336,105,False
5,5128,57,31,60,False
6,7999,55,131,30,False
7,8563,153,241,95,False
8,2619,135,426,130,False
9,6033,171,496,100,False
10,6678,184,482,90,False
11,3207,170,428,95,False
12,3755,22,126,100,False
13,6560,131,306,60,False
14,1421,111,199,130,False
15,1496,78,360,145,False
16,6234,45,301,30,False
17,5934,145,3,120,False
18,5527,50,92,125,False
19,8267,44,117,130,False
20,7273,127,62,30,False
21,1133,157,187,65,False
22,7653,190,313,130,False
23,5260,77,70,120,False
24,9646,116,477,15,False
25,6516,124,325,70,False
26,4368,146,376,45,False
27,4350,82,495,130,False
28,9578,124,316,10,False
29,4250,35,246,5,False
30,6540,100,228,105,False
31,5557,55,135,90,False
32,2983,159,178,120,False
33,1674,191,358,135,False
34,5740,76,291,145,False
35,8136,85,482,60,False
36,3071,34,111,60,False
37,811,27,227,60,False
38,3420,167,162,30,False
39,1619,163,481,25,False
40,9608,132,419,145,False
41,9930,159,287,115,False
42,5879,102,144,100,False
43,4607,153,52,20,False
44,7839,111,0,20,False
45,3017,123,242,25,False
46,384,6,112,80,False
47,3928,122,121,115,False
48,9440,118,325,110,False
49,3821,15,212,80,False
50,8567,180,407,60,False
51,5341,142,140,85,False
52,4428,118,73,125,False
53,6190,31,56,65,False
54,2578,16,131,140,False
55,7851,76,374,105,False
56,6102,61,47,5,False
57,489,39,275,75,False
58,2349,129,437,130,False
59,5146,148,16,80,False
60,3757,40,79,115,False
61,260,31,388,75,False
62,4588,198,303,120,False
63,8633,116,82,145,False
64,8787,138,104,5,False
65,3339,39,93,10,False
66,5237,72,204,140,False
67,8184,139,198,20,False
68,7279,75,398,55,False
69,2936,131,300,10,False
70,2975,109,129,55,False
71,5061,165,233,5,False
72,7520,103,325,65,False
73,2026,26,364,60,False
74,6493,146,212,35,False
75,1088,7,246,85,False
76,6524,160,440,145,False
77,7134,18,306,120,False
78,2763,114,433,60,False
79,5131,134,222,55,False
80,6243,197,162,100,False
81,6677,38,371,15,False
82,131,64,149,15,False
83,3374,37,185,20,False
84,2324,113,65,35,False
85,1039,79,154,20,False
86,6420,186,157,135,False
87,2821,187,472,80,False
88,2099,115,393,45,False
89,4695,65,478,65,False
90,5769,75,455,140,False
91,4066,69,116,95,False
92,7144,158,56,85,False
93,6928,136,157,50,False
94,7470,164,70,20,False
95,3435,24,204,115,False
96,7990,42,318,35,False
97,4556,77,181,120,False
98,2851,11,448,85,False
99,2361,199,309,50,False
100,4954,187,368,110,False
101,2357,110,241,55,False
102,7887,37,247,120,False
103,6958,88,426,5,False
104,8836,59,93,5,False
105,6782,71,233,95,False
106,7188,112,264,40,False
107,6730,68,473,100,False
108,5088,63,294,80,False
109,6723,118,489,30,False
110,5888,198,481,50,False
111,5052,27,24,85,False
112,2179,173,321,140,False
113,5013,6,11,35,False
114,5702,118,492,100,False
115,7136,69,462,15,False
116,8236,47,480,110,False
117,9551,187,40,40,False
118,5624,77,55,65,False
119,5645,37,43,20,False
120,93,144,118,65,False
121,5691,151,468,55,False
122,2138,166,61,105,False
123,1879,152,311,10,False
124,676,162,252,140,False
125,3447,58,282,40,False
126,4622,78,78,70,False
127,9758,170,352,110,False
128,4855,10,114,130,False
129,3563,106,121,80,False
130,7572,193,14,65,False
131,3324,158,343,95,False
132,2897,55,248,105,False
133,3983,25,381,50,False
134,4322,195,195,110,False
135,4342,86,187,55,False
136,6830,195,104,125,False
137,7427,125,397,115,False
138,143,143,287,45,False
139,3490,119,268,75,False
140,8001,195,451,75,False
141,6204,159,2,105,False
142,4708,7,146,140,False
143,2012,6,8,115,False
144,7627,192,311,20,False
145,2332,189,180,5,False
146,8640,189,452,100,False
147,1023,53,349,105,False
148,3409,184,158,20,False
149,9720,112,404,135,False
150,6215,199,469,90,False
151,8268,93,159,115,False
152,8076,121,171,105,False
153,2917,145,57,10,False
154,1748,145,216,120,False
155,1494,47,302,135,False
156,84,121,431,65,False
157,7805,81,185,105,False
158,8256,161,23,10,False
159,6746,1,278,110,False
160,5662,140,152,35,False
161,5514,69,461,130,False
162,2388,24,417,15,False
163,8610,121,265,30,False
164,3608,147,133,105,False
165,7141,140,48,45,False
166,1574,37,276,35,False
